Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
TFG,SET    ,5.40,6.90,3.68,8.18,2.10,5654.06,30531.91,46.16,1.04
THANI,SET100 / SETHD / SETTHSI    ,4.28,4.76,3.64,13.08,2.02,5663.03,24237.76,75.64,1.11
THG,SET100 / SETWB    ,68.50,99.50,38.00,29.05,5.83,847.47,58051.52,103.00,0.51
TIDLOR,SET50    ,30.25,38.54,23.80,20.88,3.07,9240.14,75544.42,714.14,1.40
TIPH,SET100    ,48.75,75.00,44.00,29.72,3.38,594.29,28971.75,207.57,0.99
TIPCO,sSET    ,9.00,10.50,8.60,16.55,0.97,482.58,4343.22,1.52,0.44
TISCO,SET50 / SETHD / SETTHSI    ,103.50,104.00,86.00,11.49,2.02,8006.46,82866.82,566.95,0.36
TK,sSET    ,8.85,13.10,8.10,10.08,0.77,500.00,4425.00,2.96,0.94
TKN,sSET    ,11.10,12.60,6.75,38.49,7.44,345.00,15318.00,217.09,1.15
TKS,sSET / SETTHSI    ,12.90,17.36,8.75,9.08,1.46,508.45,6558.98,106.28,2.00
TMT,sSET / SETTHSI    ,8.00,12.00,6.95,18.96,2.17,870.76,6966.06,2.52,0.71
TMW,mai    ,38.25,41.00,31.75,12.12,0.58,199.50,1526.17,0.11,0.28
TOA,SETTHSI    ,34.50,36.00,25.00,43.64,5.54,2029.00,70000.50,159.33,0.77
TOP,SET50 / SETCLMV / SETTHSI    ,55.00,63.25,47.25,3.27,0.79,22338.36,122860.96,552.65,1.06
TPIPL,SETTHSI    ,1.90,1.95,1.41,4.64,0.68,18935.24,35976.95,39.82,0.93
TPIPP,SETTHSI    ,3.44,4.22,3.20,8.90,0.93,8400.00,28896.00,9.84,0.54
TQM,SET100 / SETTHSI    ,39.75,51.00,33.25,28.96,10.42,300.00,23850.00,56.37,1.34
TR,SET    ,47.75,56.50,46.50,2.96,0.30,201.60,9626.40,0.17,0.34
TRUE,SET50    ,4.78,5.70,4.16,999.99,2.14,133472.78,159499.97,336.61,0.97
TSE,sSET    ,2.50,2.84,2.00,9.98,0.83,2117.72,5294.29,14.31,1.06
TSTH,sSET / SETCLMV / SETTHSI    ,1.23,1.67,0.99,6.93,0.81,8421.54,10358.50,11.30,1.15
TTA,sSET / SETTHSI    ,8.30,12.30,7.20,3.03,0.58,1822.46,15126.46,53.89,1.68
TTB,SET50 / SETHD / SETTHSI    ,1.41,1.47,1.09,10.38,0.64,91937.42,136454.26,480.78,1.06
TTLPF,SET    ,22.90,29.00,21.90,999.99,1.94,1782.00,4122.00,0.01,0.14
TTW,SETTHSI    ,9.45,11.80,8.15,12.52,2.71,3990.00,37705.50,31.75,0.23
TU,SET50 / SETCLMV / SETHD / SETWB    ,16.40,21.50,15.20,9.75,1.25,1192.95,78257.77,483.19,0.72
TVI,sSET    ,11.60,27.75,11.30,15.49,1.97,303.00,3514.80,1.06,0.79
TVO,SETTHSI / SETWB    ,28.75,31.25,26.50,11.09,2.38,889.47,25572.30,22.97,0.42
TYCN,SET    ,2.80,4.30,2.72,999.99,0.38,4475.62,1670.90,0.16,0.83
UTP,sSET    ,16.20,19.40,15.40,11.38,2.55,650.00,10530.00,2.78,0.80
VGI,SET100 / SETTHSI    ,4.78,6.43,3.46,999.99,1.92,1119.45,53509.80,333.15,1.24
VIBHA,SETWB    ,2.76,2.96,2.26,20.82,2.59,1357.60,37469.79,15.22,0.36
VNG,sSET / SETCLMV    ,5.90,8.75,5.55,8.47,1.35,1735.24,10237.90,1.36,0.52
WHA,SET100 / SETHD / SETTHSI    ,3.92,4.22,2.84,18.09,1.94,1494.68,58591.59,468.98,1.13
WHAIR,SET    ,7.50,9.06,7.02,999.99,0.81,8410.94,7122.12,6.81,0.24
WHART,SET    ,10.90,12.60,9.65,999.99,0.99,29535.23,35674.92,12.46,0.41
WHAUP,sSET / SETTHSI    ,4.24,4.34,3.66,35.06,1.27,3825.00,16218.00,30.91,0.58
WICE,sSET    ,10.90,24.40,9.35,11.13,4.42,325.95,7105.70,65.71,1.84
WORK,sSET    ,18.40,32.50,17.90,69.02,1.80,441.56,8124.71,18.89,1.49
